state,active,date
Total,107390,2020-04-06
Maharashtra,39944,2020-04-06
Tamil Nadu,11348,2020-04-06
Delhi,13488,2020-04-06
Gujarat,4783,2020-04-06
Rajasthan,2699,2020-04-06
Uttar Pradesh,3383,2020-04-06
Madhya Pradesh,2772,2020-04-06
State Unassigned,7483,2020-04-06
West Bengal,3583,2020-04-06
Bihar,2370,2020-04-06
Karnataka,2494,2020-04-06
Andhra Pradesh,1512,2020-04-06
Telangana,1365,2020-04-06
Jammu and Kashmir,1816,2020-04-06
Haryana,1842,2020-04-06
Odisha,1053,2020-04-06
Punjab,300,2020-04-06
Assam,1457,2020-04-06
Kerala,832,2020-04-06
Uttarakhand,814,2020-04-06
Jharkhand,462,2020-04-06
Chhattisgarh,488,2020-04-06
Tripura,400,2020-04-06
Himachal Pradesh,206,2020-04-06
Chandigarh,82,2020-04-06
Ladakh,41,2020-04-06
Manipur,83,2020-04-06
Puducherry,58,2020-04-06
Goa,69,2020-04-06
Nagaland,80,2020-04-06
Andaman and Nicobar Islands,0,2020-04-06
Meghalaya,19,2020-04-06
Arunachal Pradesh,36,2020-04-06
Mizoram,16,2020-04-06
Dadra and Nagar Haveli and Daman and Diu,10,2020-04-06
Sikkim,2,2020-04-06
Lakshadweep,0,2020-04-06
